Start Time,End Time,EN,ES,Highlight,Comments,Speaker
00:02:35:00,00:02:37:00,"It comes here and from here the salt goes,","Viene para acá y de aquí la sal se va,",,,salinero young
00:02:38:06,00:02:41:00,it crystallizes here in the ponds,se va cristalizando aquí en las charcas,,,salinero young
00:02:41:13,00:02:44:29,with the sun and the breeze. when it's ready,con el sol y la brisa. Cuando ya esta lista,,,salinero young
00:02:45:00,00:02:49:15,"one comes, puts the shovel in it and if it is thick it is already good to pick it up.","uno viene, le mete la pala y si esta gruesa ya está buena para recogerla.",,,salinero young
00:02:49:27,00:02:54:17,"One comes to pick up with the owner of
the pond, the water is removed again,","Se viene uno a recoger con el dueño de
la charcha, se saca el agua de nuevo,",,,salinero young
00:02:55:07,00:02:57:23,it passes through the pond and collects the salt.,se pasa por la charca y se recoge la sal.,,,salinero young
00:02:58:25,00:03:00:29,"And that, but it comes from..., why is it done like that?","Y eso, pero viene de…, ¿porque se hace así?",,,salinero young
00:03:01:00,00:03:03:15,"It's done like this to make it dry, do you understand?","Se hace así para que se seque, ¿entiendes?",,,salinero young
00:03:04:24,00:03:07:29,So that it drains the water.,Para que ella escurra el agua.,,,salinero young
00:03:08:00,00:03:09:06,So one fixes it here and puts it like this?,¿Entonces uno la arregla acá y la pone así?,,,salinero young
00:03:10:15,00:03:12:08,"Yes of course, because one does it like that","Si claro, porque uno la hace así",,,salinero young
00:03:12:08,00:03:16:17,one piles it up and the higher it is,"para arriba, la va amontonando para arriba y entre más arriba esté",,,salinero young
00:03:17:03,00:03:20:09,"The lower goes the water, do you understand?","más el agua baja, ¿entiendes?",,,salinero young
00:03:20:10,00:03:22:06,Ah okay I didn't know why it was like that,Ah okey no sabía por qué se ponía así,,,salinero young
00:03:22:15,00:03:24:03,"How long does it last like this, what would be ideal?","¿Cuánto tiempo dura así, que sería lo ideal?",,,salinero young
00:03:24:03,00:03:29:20,"Well, yes, the pond, for example, is exploited
today you can plow tomorrow, you have all day","Pues sí la charca, por ejemplo, se explota
hoy se puede arar mañana, tiene todo el día",,,salinero young
00:03:29:21,00:03:33:06,"to cover, tomorrow you can load it
like we´re doing right now","para cubrirse, ya mañana se puede embarcar
cómo estamos haciendo ahorita",,,salinero young
00:03:33:29,00:03:35:28,Load it onto the cars and they take it away.,para los carros y se la llevan.,,,salinero young
00:03:36:12,00:03:38:14,So then it's put in the bag?,¿Entonces luego se pone en la bolsa?,,,salinero young
00:03:38:15,00:03:40:28,In the bag and the car comes and we ship the cars.,En la bolsa y viene el carro y embarcamos los carros.,,,salinero young
00:03:42:01,00:03:46:22,What is your daily earnings through salt work?,¿Cuál es su ganancia diaria a través del trabajo de la sal?,,,salinero young
00:03:46:23,00:03:50:17,Well here depending on the cars.,Pues aquí dependiendo de los carros.,,,salinero young
00:03:51:07,00:03:53:20,"If, for example, if we fill only one car","Si, por ejemplo, si llenamos solo un carro",,,salinero young
00:03:53:21,00:03:56:04,"among ten people,","entre diez personas,",,,salinero young
00:03:56:22,00:03:59:14,"Let's put $14,000 or $10,000 among us together,","pongámosle $14.000 o $10.000 entre todos,",,,salinero young
00:04:00:27,00:04:03:23,"if the salt is from us, that we export it,","si la sal es de nosotros, que la exportamos nosotros,",,,salinero young
00:04:04:04,00:04:07:13,"Well, that’s around $30,000
to each one, daily,","pues ya vienen quedando como $30.000
a cada uno, diario,",,,salinero young
00:04:08:26,00:04:12:05,"If we have more salt and two cars arrive, three cars,","si tenemos más sal y llegan dos carros, tres carros,",,,salinero young
00:04:12:06,00:04:17:17,"we have $60,000, $80,000 left, depending on the cars,","nos quedan $60.000, $80.000, dependiendo los carros,",,,salinero young
00:04:18:06,00:04:23:10,"because here if a car doesn't arrive there isn't either,
there is no production of anything.","porque aquí si no llega carro tampoco hay,
no hay producción de nada.",,,salinero young
00:04:23:11,00:04:26:13,Who are the ones from the cars?,¿Quiénes son (los) de los carros?,,,salinero young
00:04:26:14,00:04:30:01,"Well, the owners of the ponds command the cars,","Pues lo dueños de las charcas son lo que mandan los carros,",,,salinero young
00:04:30:21,00:04:33:29,"They say “go to that part, that there is a car over there”",dicen vayan a tal parte que allá hay un carro,,,salinero young
00:04:34:00,00:04:35:19,and one loads it.,y uno lo carga.,,,salinero young
00:04:36:00,00:04:39:13,"because one here has the salt,
but if they don't arrive we don't have either","porque uno aquí tiene la sal,
pero si ellos no llegan tampoco tenemos",,,salinero young
00:04:40:08,00:04:44:15,nothing.,nada.,,,salinero young
00:04:44:16,00:04:46:29,"What knowledge do you have of salt, what is it used for?","¿Qué conocimiento tienes de la sal, para que se usa?",,,salinero young
00:04:47:00,00:04:50:19,"Well, salt is used for many things, for livestock, for eating,","Pues la sal se usa para muchas cosas, para el ganado, para comer,",,,salinero young
00:04:51:24,00:04:54:08,for many things that …,para muchas cosas que uno…,,,salinero young
00:04:55:26,00:04:57:17,salt is very important,La sal es muy importante,,,salinero young
00:04:57:25,00:05:00:12,"because if it wasn’t for the salt you couldn’t,","porque si no es por la sal tampoco se puede,",,,salinero young
00:05:00:21,00:05:05:17,"You can't make some rice, you can't do something because salt is irreplaceable.","no se puede hacer un arrocito, no se puede hacer algo porque la sal es irremplazable.",,,salinero young
00:05:06:24,00:05:07:19,Basis of life?,¿Base de la vida?,,,salinero young
00:05:07:20,00:05:10:27,"Yes, a base that... for example you,","Sí, una base que... por ejemplo usted,",,,salinero young
00:05:12:01,00:05:14:03,"with sugar, if you’re going to make some juice","el azúcar, va a hacer un juguito",,,salinero young
00:05:14:04,00:05:17:07,"You can put some cane sugar or something, but you can’t do that with salt,","le pone una panelita o algo, pero la sal no,",,,salinero young
00:05:19:02,00:05:20:02,"You can't season rice, you can't add brown sugar,","un arroz no se puede sazonar, no se le puede echar panela,",,,salinero young
00:05:20:02,00:05:22:01,you can't put anything on it.,no se le puede echar nada.,,,salinero young
00:05:22:05,00:05:25:18,"So this is a point
which is important to us here in Manaure.","Entonces este es un punto
que es importante para nosotros acá en Manaure.",,,salinero young
00:05:25:19,00:05:29:17,"I'm not from here, but it's important
because this is where I get the food from","Yo no soy de acá, pero es importante
porque de aquí es que saco la comida",,,salinero young
00:05:31:11,00:05:33:20,"Daily, every day",diario todos los días,,,salinero young
00:05:33:21,00:05:37:14,"From 4 in the morning sometimes 3,
depending on the cars,","De cuatro de la mañana a veces a las tres,
dependiendo los carros,",,,salinero young
00:05:37:15,00:05:41:28,"if they arrive early at 5 in the morning or arrive at 3,
at that time you have to stop","si llegan temprano a las cinco de la mañana o llegan a las tres,
a esa hora hay que pararse",,,salinero young
00:05:41:29,00:05:43:14,to pack the salt,a empacar la sal,,,salinero young
00:05:44:27,00:05:47:06,and until ten?,¿y hasta las diez?,,,salinero young
00:05:47:07,00:05:50:10,"Until ten in the morning and sometimes they take until eleven,","Hasta las diez de la mañana y a veces se demoran a veces hasta las once,",,,salinero young
00:05:50:25,00:05:54:08,"sometimes even until noon,
because they come and go from here to","a veces hasta el mediodía a más tardar,
porque es que ellos van y viene ahí a",,,salinero young
00:05:54:15,00:05:54:22,"Uribia,","Uribia,",,,salinero young
00:05:55:28,00:05:58:08,"So it takes until that, that they come here.","entonces la demora es esa, que vengan hacia acá.",,,salinero young
00:05:59:17,00:06:03:20,"Does it also have to do with the sun,
that is very, very strong?","¿Tiene que ver también con el sol,
que está muy, muy fuerte?",,,salinero young
00:06:03:21,00:06:07:26,"Yes, it affects us a lot
when it’s around this time, eleven o'clock","Si a nosotros nos afecta mucho
cuando llega esta hora de once",,,salinero young
00:06:08:12,00:06:11:28,"and a car parks, sometimes you even vomit,","y parquea un carro, a veces hasta uno vomita,",,,salinero young
00:06:12:11,00:06:14:25,Or faint because of the very strong sun.,"se desmaya por mucho, mucho sol.",,,salinero young
00:06:15:25,00:06:17:26,"But you know, you do that for…","Pero uno sabe, eso uno lo hace por…",,,salinero young
00:06:17:27,00:06:20:16,"because one must do it, because","porque uno tiene que mandar obligado, porque",,,salinero young
00:06:21:17,00:06:24:26,the food comes from there.,la comida sale de ahí.,,,salinero young
