,Start Time,End Time,EN,ES,Highlight,Comments,Speaker,Interview
32,00:01:31:09,00:01:34:20,and then put…,y luego poner a…,,,jose,fuego
33,00:01:34:22,00:01:37:13,you can say evaporate.,se puede decir evaporar.,,,jose,fuego
34,00:01:37:13,00:01:40:10,And,¿Y,,,jose,fuego
35,00:01:40:10,00:01:43:20,How does that interact with the sheet?,eso como interactúa con la hoja?,,,jose,fuego
36,00:01:43:22,00:01:49:04,"And then with the leaf it is toasted in a clay pot,","Y luego ya con la hoja se tuesta en una olla de barro,",,,jose,fuego
37,00:01:49:06,00:01:51:16,"is completely dehydrated, no longer","se deshidrata totalmente, que ya no",,,jose,fuego
38,00:01:51:16,00:01:54:23,the taste of green is felt,se sienta el sabor a verde,,,jose,fuego
39,00:01:55:01,00:01:58:00,and then that's it,y entonces ya pues eso,,,jose,fuego
40,00:01:58:03,00:02:00:07,we put in the mouth,colocamos en la boca,,,jose,fuego
41,00:02:00:07,00:02:10:13,and in these pores,y en estos poros,,,jose,fuego
42,00:02:10:15,00:02:13:10,well,pues,,,jose,fuego
43,00:02:13:10,00:02:14:03,we extract,extraemos,,,jose,fuego
44,00:02:14:03,00:02:18:11,"the lime with the stick,","la cal con el palo,",,,jose,fuego
45,00:02:18:13,00:02:21:18,an amount that does not harm the lip,una cantidad que no maltrate el labio,,,jose,fuego
46,00:02:21:20,00:02:24:03,because salt is very strong.,porque la sal es muy fuerte.,,,jose,fuego
47,00:02:24:03,00:02:27:03,"If I put it like that, it bothers me.",Si yo meto así me pela.,,,jose,fuego
48,00:02:27:07,00:02:29:14,So,Entonces,,,jose,fuego
49,00:02:29:14,00:02:32:11,I take out a quantity and on the sheet,saco una cantidad y sobre la hoja,,,jose,fuego
50,00:02:32:11,00:02:35:16,What do I have there with saliva?,que tengo ahí con saliva,,,jose,fuego
51,00:02:35:18,00:02:38:08,and I am forming,y voy formando,,,jose,fuego
52,00:02:38:08,00:02:40:04,different.,distintas.,,,jose,fuego
53,00:02:40:04,00:02:43:00,"And that way, each one is different?","¿Y esa forma, cada una es diferente?",,,jose,fuego
54,00:02:43:00,00:02:43:13,"It grows,","Crece,",,,jose,fuego
55,00:02:43:13,00:02:46:08,then,luego,,,jose,fuego
56,00:02:46:08,00:02:49:02,starts to cover all the saliva,empieza a enchapar toda la saliva,,,jose,fuego
57,00:02:49:02,00:02:54:06,"the mixture, the green comes out of the leaf","la mezcla, sale el verde de la hoja",,,jose,fuego
58,00:02:54:08,00:02:56:03,"with lime,","con la cal,",,,jose,fuego
59,00:02:56:03,00:02:58:14,comes out like thick saliva,sale como una saliva espesa,,,jose,fuego
60,00:02:58:14,00:03:01:04,and the wet stick and,y el palo húmedo y,,,jose,fuego
61,00:03:01:04,00:03:03:05,with that,con eso,,,jose,fuego
62,00:03:03:07,00:03:05:13,"he leaves, as they say,","se va, como se dice,",,,jose,fuego
63,00:03:05:13,00:03:09:17,"well, like painting.","bueno, como pintando.",,,jose,fuego
64,00:03:09:19,00:03:11:02,And that's the action you're doing there?,¿Y eso es la acción que esta haciendo ahí?,,,jose,fuego
65,00:03:11:02,00:03:13:09,"Action, yes","Acción, sí",,,jose,fuego
66,00:03:13:09,00:03:18:02,and that forms layers and grows,y eso va formando capas y va creciendo,,,jose,fuego
67,00:03:18:22,00:03:21:22,Does it have a meaning in the form?,¿Tiene un significado en la forma?,,,jose,fuego
68,00:03:21:23,00:03:24:23,or does everyone have their own definition?,¿o cada uno tiene su definición?,,,jose,fuego
69,00:03:24:23,00:03:27:17,"Each one then,","Cada uno pues,",,,jose,fuego
70,00:03:27:17,00:03:28:23,"the meaning,","el significado,",,,jose,fuego
71,00:03:28:23,00:03:31:03,it is like,es como,,,jose,fuego
72,00:03:31:03,00:03:33:01,"everything that is concentrated,","todo lo que se concentra,",,,jose,fuego
73,00:03:33:01,00:03:36:09,knowledge in spirit when as,el conocimiento en espíritu cuando como,,,jose,fuego
74,00:03:36:11,00:03:36:23,"For example,","por ejemplo,",,,jose,fuego
75,00:03:36:23,00:03:42:01,"When mom is teaching, then one is pooping","cuando mamá está enseñando, entonces uno está poporeando",,,jose,fuego
76,00:03:42:03,00:03:46:10,and then it is greater concentration,y entonces es mayor concentración,,,jose,fuego
77,00:03:46:14,00:03:49:12,"Well, one is focused on the poporo",Ósea uno está enfocado al poporo,,,jose,fuego
78,00:03:49:12,00:03:53:13,and does not pay attention to what is happening in the environment.,y no presta atención a lo que ocurre en el entorno.,,,jose,fuego
79,00:03:53:15,00:03:58:04,So for us what is being formed,Entonces para nosotros lo que se va formando,,,jose,fuego
80,00:03:58:04,00:04:01:05,here is how we are weaving,aquí es como vamos tejiendo,,,jose,fuego
81,00:04:01:05,00:04:05:12,"and messing around there, writing","y enredando ahí, escribiendo",,,jose,fuego
82,00:04:05:14,00:04:07:09,and that makes us,y eso nos hace que,,,jose,fuego
83,00:04:07:09,00:04:09:23,"Since all our knowledge is oral,","como todo nuestro conocimiento es oral,",,,jose,fuego
84,00:04:09:23,00:04:14:14,"then it makes things stick in our minds,","entonces hace que las cosas nos queden grabado,",,,jose,fuego
85,00:04:14:16,00:04:16:15,what the eldest says,lo que dice el mayor,,,jose,fuego
86,00:04:16:15,00:04:18:05,or the mom.,o el mamó.,,,jose,fuego
87,00:04:18:05,00:04:20:10,"Since we don't write,","Como no escribimos,",,,jose,fuego
88,00:04:20:10,00:04:24:03,helps us have better,nos ayuda a tener mejor,,,jose,fuego
89,00:04:24:05,00:04:27:10,"hearing, concentration.","oído, concentración.",,,jose,fuego
90,00:04:27:12,00:04:29:22,AND,Y,,,jose,fuego
91,00:04:29:22,00:04:32:07,when turning,al hacerle vuelta,,,jose,fuego
92,00:04:32:07,00:04:34:00,or how to paint,o como pintar,,,jose,fuego
93,00:04:34:00,00:04:35:01,then it helps us,entonces nos ayuda a,,,jose,fuego
94,00:04:35:01,00:04:42:00,"that our spirit or our hearing, the thought,","que nuestro espíritu o nuestro oído, el pensamiento,",,,jose,fuego
95,00:04:42:02,00:04:45:02,the view works and,la vista funcione y,,,jose,fuego
96,00:04:45:05,00:04:48:10,develops better.,se desarrolle mejor.,,,jose,fuego
97,00:04:48:12,00:04:51:16,When a mother teaches wisdom,Cuando mamó enseña una sabiduría,,,jose,fuego
98,00:04:51:18,00:04:54:13,Pray then help him,"Ora, entonces le ayuda",,,jose,fuego
99,00:04:54:13,00:04:56:14,why that,a que eso,,,jose,fuego
100,00:04:56:14,00:05:00:11,stay in one.,quede en uno.,,,jose,fuego
101,00:05:00:13,00:05:01:16,And so,Y eso,,,jose,fuego
102,00:05:01:16,00:05:05:12,It's like the importance of poporo.,es como la importancia del poporo.,,,jose,fuego
103,00:05:05:14,00:05:08:19,But initially at,Pero inicialmente a los,,,jose,fuego
104,00:05:08:21,00:05:14:02,"Guys, it is only for use by men and at the age","muchachos, solamente es de uso de hombre y a la edad",,,jose,fuego
105,00:05:14:02,00:05:18:04,"more or less 16, 17 years old","de más o menos 16, 17 años",,,jose,fuego
106,00:05:18:06,00:05:20:22,that normally because the height,que normalmente pues la estatura ya,,,jose,fuego
107,00:05:20:22,00:05:24:20,"arrives,","llega,",,,jose,fuego
108,00:05:24:22,00:05:25:13,I already know,ya se le,,,jose,fuego
109,00:05:25:13,00:05:28:01,deliver the poporo.,entrega el poporo.,,,jose,fuego
110,00:05:31:05,00:05:36:01,Did the mother,¿El mamó,,,jose,fuego
111,00:05:36:03,00:05:39:00,do you prepare?,les hace preparación?,,,jose,fuego
112,00:05:39:00,00:05:41:01,On an empty stomach,En ayunas,,,jose,fuego
113,00:05:41:01,00:05:42:18,like four days in,como cuatro días en,,,jose,fuego
114,00:05:42:18,00:05:46:06,fasting and then,ayuno y luego,,,jose,fuego
115,00:05:46:07,00:05:48:17,they're taking us,nos llevan,,,jose,fuego
116,00:05:48:17,00:05:50:16,to a cave,a una cueva,,,jose,fuego
117,00:05:50:16,00:05:51:19,and,y,,,jose,fuego
118,00:05:51:19,00:05:54:19,there all the time,allá todo el tiempo,,,jose,fuego
119,00:05:54:21,00:05:56:06,makes us like,nos pone como a,,,jose,fuego
120,00:05:56:06,00:05:59:23,pass on all the information,pasarle toda la información,,,jose,fuego
121,00:06:00:01,00:06:02:06,"or the inventory to the mother,","o el inventario a la madre,",,,jose,fuego
122,00:06:02:06,00:06:06:00,except good and bad things we have done in life.,excepto cosas buenas y malas que hemos hecho en la vida.,,,jose,fuego
123,00:06:06:02,00:06:08:10,So that's what,Entonces eso es lo que,,,jose,fuego
124,00:06:08:10,00:06:11:17,in Spanish they call confesso.,en español llaman confieso.,,,jose,fuego
125,00:06:11:19,00:06:13:14,But,Pero,,,jose,fuego
126,00:06:13:14,00:06:14:06,is,es,,,jose,fuego
127,00:06:14:06,00:06:16:08,report to the mother everything,reportar a la madre todo lo que,,,jose,fuego
128,00:06:16:08,00:06:19:15,one has developed in life,uno ha desarrollado en la vida,,,jose,fuego
129,00:06:19:16,00:06:23:07,and to have a clean spirit.,y para tener el espíritu limpio.,,,jose,fuego
130,00:06:23:09,00:06:24:07,and,y,,,jose,fuego
131,00:06:24:07,00:06:27:19,then receive the knowledge of the mamos,luego recibir ya el conocimiento de los mamos,,,jose,fuego
132,00:06:27:19,00:06:30:13,"which are already positive knowledge,","que ya son conocimientos positivos,",,,jose,fuego
133,00:06:30:13,00:06:33:13,I mean what you will become,osea lo que te convertirás,,,jose,fuego
134,00:06:33:14,00:06:37:03,"as a man, as a person and what","como hombre, como persona y lo que",,,jose,fuego
135,00:06:37:05,00:06:40:16,"will do from now on in your life, in your decision,","hará en adelante en tu vida, en tu decisión,",,,jose,fuego
136,00:06:40:18,00:06:43:12,in what you want to develop.,en lo que quiera desarrollarse.,,,jose,fuego
137,00:06:43:12,00:06:46:04,"If you want to be a mom, or","Ya si quieres ser mamó, o",,,jose,fuego
138,00:06:46:04,00:06:49:20,"wants to be a builder, field worker,","quiere ser constructor, trabajador de campo,",,,jose,fuego
139,00:06:49:22,00:06:53:11,then one is prepared to receive all,entonces ya uno está preparado para recibir todos,,,jose,fuego
140,00:06:53:12,00:06:57:05,"that knowledge, or rather the initiation.","esos conocimientos, pues mejor dicho la iniciación.",,,jose,fuego
141,00:06:57:07,00:07:00:07,It's already starting,Ya empieza,,,jose,fuego
142,00:07:00:11,00:07:03:22,"the stage in the life of a man, of responsibility,","la etapa en la vida de hombre, de responsabilidad,",,,jose,fuego
143,00:07:04:00,00:07:07:06,because we live all the time,porque vivimos todo el tiempo,,,jose,fuego
144,00:07:07:08,00:07:12:19,in the hands of our parents.,en las manos de nuestros padres.,,,jose,fuego
145,00:07:12:20,00:07:13:06,Without,Sin,,,jose,fuego
146,00:07:13:06,00:07:14:20,"depend on oneself,","depender de uno mismo,",,,jose,fuego
147,00:07:14:20,00:07:16:05,the parents are the,los padres son los,,,jose,fuego
148,00:07:16:05,00:07:19:15,"in charge of ensuring that nothing happens to him,","encargados de cuidar que no le pase nada,",,,jose,fuego
149,00:07:19:17,00:07:23:18,"protects them, feeds us, gives us clothes,","los protege, nos alimenta, nos da ropa,",,,jose,fuego
150,00:07:23:18,00:07:28:14,"knowledge, advice, cared","conocimiento, consejo, cuidaba",,,jose,fuego
151,00:07:28:16,00:07:32:05,"so that nature does not charge us,","para que la naturaleza no nos cobre,",,,jose,fuego
152,00:07:32:05,00:07:35:17,"then they are the ones who are pending all their lives,","entonces son los que están pendiente toda la vida,",,,jose,fuego
153,00:07:35:19,00:07:40:01,"but we are already entering the adult stage,","pero ya entramos en la etapa ya de adulto,",,,jose,fuego
154,00:07:40:03,00:07:42:10,where life will depend on you.,donde la vida ya dependerá de uno.,,,jose,fuego
155,00:07:42:10,00:07:45:15,Then they train us,Entonces nos hacen entrenamiento,,,jose,fuego
156,00:07:45:17,00:07:47:05,"of four days,","de cuatro días,",,,jose,fuego
157,00:07:47:05,00:07:50:05,"It depends on the consultation seven, eight days.","depende en la consulta siete, ocho días.",,,jose,fuego
158,00:07:50:09,00:07:54:02,So it's a little strict,Entonces es un poco estricto,,,jose,fuego
159,00:07:54:04,00:07:57:15,upon receiving support.,al recibir el soporte.,,,jose,fuego
160,00:07:57:17,00:07:59:20,Usually,Normalmente,,,jose,fuego
161,00:07:59:20,00:08:02:04,are,son,,,jose,fuego
162,00:08:02:04,00:08:05:04,"fasting, you have to fast","ayunos, hay que hacer ayunos",,,jose,fuego
163,00:08:05:04,00:08:08:09,"and stay up late,","y trasnochar,",,,jose,fuego
164,00:08:08:11,00:08:12:01,not sleeping four nights in a row.,no dormir cuatro noches seguidas.,,,jose,fuego
165,00:08:12:02,00:08:16:02,And there are people who have a strong spirit,Y hay personas que tienen espíritu fuerte,,,jose,fuego
166,00:08:16:04,00:08:20:11,and are able to resist and other young people,y son capaces de resistir y otros jóvenes,,,jose,fuego
167,00:08:20:13,00:08:22:18,"they can't do it,","no lo pueden hacer,",,,jose,fuego
168,00:08:22:18,00:08:23:23,they do not resist.,no resisten.,,,jose,fuego
169,00:08:23:23,00:08:29:04,It means that that person is going to have a lot of conflict.,Significa que esa persona va a tener mucho conflicto,,,jose,fuego
170,00:08:29:04,00:08:35:21,and will not be able to level things in life.,y no será capaz de nivelar las cosas de la vida.,,,jose,fuego
171,00:08:35:23,00:08:36:07,It's not,No es,,,jose,fuego
172,00:08:36:07,00:08:40:03,"Sad, it's like proof that the mamos do.","Triste, es como prueba que hacen los mamos.",,,jose,fuego
173,00:08:40:04,00:08:44:19,It is not the mamos if it does not taste that of nature.,No es los mamos si no prueba el de la naturaleza.,,,jose,fuego
174,00:08:44:21,00:08:46:14,Personally when I,Personalmente cuando a mi,,,jose,fuego
175,00:08:46:14,00:08:51:03,"They did that ceremony for me, I didn't have a problem with that.",me hicieron esa ceremonia yo no tuve como problema en eso.,,,jose,fuego
176,00:08:51:04,00:08:54:00,Already.,Ya.,,,jose,fuego
177,00:08:54:00,00:08:56:17,There were humans called,Había humanos que se llamaban,,,jose,fuego
178,00:08:56:17,00:09:00:01,Mamo santos from xxxx,Mamo santos de xxxx,,,jose,fuego
179,00:09:00:03,00:09:03:03,"One of the wisest mamos,","Uno de los mamos más sabios,",,,jose,fuego
180,00:09:03:05,00:09:07:13,"important, one of the last ones rather and one of them","importante, de los últimos mejor dicho y uno de ellos",,,jose,fuego
181,00:09:07:15,00:09:12:02,"He was the one who gave me that initiation, very strict,","fue quien me hizo esa iniciación, muy estricto,",,,jose,fuego
182,00:09:12:04,00:09:16:05,but I passed that test without any problem.,pero yo pasé esa prueba sin ningún problema.,,,jose,fuego
183,00:09:16:06,00:09:18:05,"I mean,","Ósea,",,,jose,fuego
184,00:09:18:05,00:09:24:00,late night fasting at night and late night fasting,ayuno de trasnocho en la noche y el trasnocho,,,jose,fuego
185,00:09:24:02,00:09:28:05,"Well, what's going on there? each night","Bueno, ¿Qué pasa ahí? cada noche",,,jose,fuego
186,00:09:28:07,00:09:31:21,long a wise,largo un sabio,,,jose,fuego
187,00:09:31:23,00:09:34:23,"is teaching him,","le está enseñando,",,,jose,fuego
188,00:09:35:01,00:09:39:09,He is teaching you the law of origin.,le está enseñando la ley de origen.,,,jose,fuego
189,00:09:39:10,00:09:44:12,All creation begins from creation,"Toda la creación, empieza desde la creación",,,jose,fuego
190,00:09:44:13,00:09:48:21,"and all night listen, listen","y toda la noche escuchar, escuchar",,,jose,fuego
191,00:09:48:22,00:09:51:12,and,y,,,jose,fuego
192,00:09:51:12,00:09:55:19,I did not have any problem.,yo no tuve ningún problema.,,,jose,fuego
193,00:09:55:21,00:09:58:21,"And since this is good,","Y como esto es bueno,",,,jose,fuego
194,00:09:59:01,00:10:02:01,"after I put that in, can you tell me","después de que coloque eso, me puede decir",,,jose,fuego
195,00:10:02:02,00:10:04:12,what is the creation belief?,cuál es la creencia de la creación?,,,jose,fuego
196,00:10:10:23,00:10:15:21,What is the creation?,¿La creación cual es?,,,jose,fuego
197,00:10:15:23,00:10:20:10,The creation?,¿La creación?,,,jose,fuego
198,00:10:20:12,00:10:22:03,Active.,Activa.,,,jose,fuego
199,00:10:22:03,00:10:26:00,May the younger brother,Que el hermano menor,,,jose,fuego
200,00:10:26:02,00:10:27:19,called,llamado,,,jose,fuego
201,00:10:27:19,00:10:30:04,xxxx,xxxx,,,jose,fuego
202,00:10:30:04,00:10:32:16,"or mythology,","o la mitología,",,,jose,fuego
203,00:10:32:16,00:10:37:13,but more than mythology,pero más que mitología,,,jose,fuego
204,00:10:37:15,00:10:42:00,Xxxx it could be something,Xxxx puede ser algo,,,jose,fuego
205,00:10:42:02,00:10:43:05,as belief,como creencia,,,jose,fuego
206,00:10:43:05,00:10:47:09,"or something that is real or unreal,","o algo que sea real o irreal,",,,jose,fuego
207,00:10:47:11,00:10:50:00,but for us,pero para nosotros,,,jose,fuego
208,00:10:50:00,00:10:56:16,"It is the beginning of life, the beginning of life.","es el comienzo de la vida, el principio de la vida.",,,jose,fuego
209,00:10:56:18,00:10:59:10,"Everything has an explanation,","Todo tiene explicación,",,,jose,fuego
210,00:10:59:10,00:11:03:05,just as science manages to explain things.,así como la ciencia logra explicar las cosas.,,,jose,fuego
211,00:11:03:07,00:11:06:22,Our science explains.,Nuestra ciencia explica.,,,jose,fuego
212,00:11:06:23,00:11:08:21,"Let's say,","Digamos,",,,jose,fuego
213,00:11:08:21,00:11:13:22,the mamos explain how it was created,los mamos explican cómo se creó,,,jose,fuego
214,00:11:14:00,00:11:18:08,the universe.,el universo.,,,jose,fuego
215,00:11:18:10,00:11:20:06,"When they explain,","Cuando ellos explican,",,,jose,fuego
216,00:11:20:06,00:11:24:02,"They explain in the following way, they say that","explican de la siguiente manera, dicen que",,,jose,fuego
217,00:11:24:04,00:11:27:12,"first, before existing","primero, antes de existir",,,jose,fuego
218,00:11:27:14,00:11:30:18,"The material,","lo material,",,,jose,fuego
219,00:11:30:20,00:11:32:14,"there was nothing, it was","no había nada, era",,,jose,fuego
220,00:11:32:14,00:11:36:19,water and night.,agua y noche.,,,jose,fuego
221,00:11:36:21,00:11:39:18,That's how it started.,Así empezó.,,,jose,fuego
222,00:11:39:18,00:11:41:20,But the water,Pero el agua,,,jose,fuego
223,00:11:41:20,00:11:43:21,"The water was not as such as today,","no era como tal el agua como hoy,",,,jose,fuego
224,00:11:43:21,00:11:46:21,"but the spirit, that is, nothing.","sino el espíritu, ósea nada.",,,jose,fuego
225,00:11:49:05,00:11:53:10,"That is, from nothing it began to be created","Es decir, de la nada empezó a crearse",,,jose,fuego
226,00:11:53:12,00:11:54:12,on the moon.,en la Luna.,,,jose,fuego
227,00:11:54:12,00:11:57:06,"That is why the expression, the word","Por eso la expresión, la palabra",,,jose,fuego
228,00:11:57:06,00:12:01:09,moon comes from that foundation,luna viene desde ese fundamento,,,jose,fuego
229,00:12:01:10,00:12:03:16,"then there was no water,","entonces no había agua,",,,jose,fuego
230,00:12:03:16,00:12:06:06,"There was no sun, no stars,","no había sol, no hay estrellas,",,,jose,fuego
231,00:12:06:06,00:12:08:22,there were no plants.,no había plantas.,,,jose,fuego
232,00:12:08:22,00:12:11:21,"First mother xxxx,","Primera madre xxxx,",,,jose,fuego
233,00:12:12:02,00:12:16:14,"and father xxxx began to,","y el padre xxxx empezaron a,",,,jose,fuego
234,00:12:16:16,00:12:18:15,in spirit,en espíritu,,,jose,fuego
235,00:12:18:15,00:12:21:08,to create everything that was going to be,a crear todo lo que iba a ser,,,jose,fuego
236,00:12:21:08,00:12:23:08,"the earth, the planet.","la tierra, el planeta.",,,jose,fuego
237,00:12:23:08,00:12:24:20,Who were our grandparents,Quiénes fueron nuestros abuelos,,,jose,fuego
238,00:12:24:20,00:12:27:14,before,antes de ser,,,jose,fuego
239,00:12:27:14,00:12:30:11,the first spirits that,los primeros espíritus que,,,jose,fuego
240,00:12:30:11,00:12:33:22,gave creation.,dio la creación.,,,jose,fuego
241,00:12:34:00,00:12:35:19,Then,Luego,,,jose,fuego
242,00:12:35:19,00:12:37:20,they,ellos,,,jose,fuego
243,00:12:37:20,00:12:41:14,"They assigned the work to the children,","asignaron el trabajo a los hijos,",,,jose,fuego
244,00:12:41:16,00:12:45:16,"to father xxxx, to this one","al padre xxxx, a este se",,,jose,fuego
245,00:12:45:18,00:12:48:18,"He ordered him to organize the land,","le ordenó organizar la tierra,",,,jose,fuego
246,00:12:48:23,00:12:53:08,"That is why he was called the father of the earth,","es por eso por lo que se llamo el padre de la tierra,",,,jose,fuego
247,00:12:53:10,00:12:56:05,"Xxxx, father of life,","Xxxx, padre de la vida,",,,jose,fuego
248,00:12:56:05,00:12:59:23,"I say about living beings,","digo de los seres vivos,",,,jose,fuego
249,00:13:00:01,00:13:03:10,of the nature.,de la naturaleza.,,,jose,fuego
250,00:13:03:12,00:13:05:12,"The father xxxx,","El padre xxxx,",,,jose,fuego
251,00:13:05:14,00:13:07:12,he ordered him,le ordenó,,,jose,fuego
252,00:13:07:12,00:13:09:07,the law of origin.,la ley de origen.,,,jose,fuego
253,00:13:09:07,00:13:12:16,That they will organize everything that is,Que organizaran todo lo que es,,,jose,fuego
254,00:13:12:18,00:13:15:17,spiritual mountains,"espiritual, montañas",,,jose,fuego
255,00:13:15:17,00:13:18:09,with temples.,con templos.,,,jose,fuego
256,00:13:18:09,00:13:20:15,Order,Ordenar,,,jose,fuego
257,00:13:20:15,00:13:22:09,the law,la ley,,,jose,fuego
258,00:13:22:09,00:13:23:16,spiritual.,espiritual.,,,jose,fuego
259,00:13:23:16,00:13:26:23,The xxxx father that is,El padre xxxx que es,,,jose,fuego
260,00:13:27:01,00:13:29:15,of the most,de los más,,,jose,fuego
261,00:13:29:15,00:13:32:23,powerful who dominates all wisdom,poderosos que domina todas las sabidurías,,,jose,fuego
262,00:13:32:23,00:13:35:01,"complete of the mother,","completa de la madre,",,,jose,fuego
263,00:13:35:01,00:13:37:12,ordered him as,le ordenó como,,,jose,fuego
264,00:13:37:12,00:13:41:20,"keep that wisdom,","mantener esa sabiduría,",,,jose,fuego
265,00:13:41:21,00:13:44:05,organize well,organizar bien,,,jose,fuego
266,00:13:44:05,00:13:47:22,and leave each code in nature.,y dejar cada código en la naturaleza.,,,jose,fuego
267,00:13:48:00,00:13:51:10,"Therefore, father xxxx","Por eso, padre xxxx",,,jose,fuego
268,00:13:51:12,00:13:53:15,"knows everything,","sabe todo,",,,jose,fuego
269,00:13:53:15,00:13:55:11,"knows what the law of stone is like,","sabe cómo es la ley de la piedra,",,,jose,fuego
270,00:13:55:11,00:13:58:07,"the law of people, the law of plants.","la ley de las personas, la ley de las plantas.",,,jose,fuego
271,00:13:58:07,00:13:59:22,"He knows,","Él sabe,",,,jose,fuego
272,00:13:59:22,00:14:03:02,We asked him what the law is like and he explained it to you.,le preguntamos y como es la ley y te explica,,,jose,fuego
273,00:14:03:04,00:14:07:00,"how to take care of yourself, he explains.","cómo se cuida, te explica.",,,jose,fuego
274,00:14:07:02,00:14:10:16,"That is what the law of origin is, rather","Eso es lo que es la ley de origen, mejor dicho",,,jose,fuego
275,00:14:10:17,00:14:14:05,"imagine it as if it were a book,","imagínate como si fuera un libro,",,,jose,fuego
276,00:14:14:07,00:14:17:03,that his mother wrote to him,que la madre le escribió,,,jose,fuego
277,00:14:17:03,00:14:23:06,and they applied it just as the mother indicated.,y ellos aplicaban tal como la madre le indicaba.,,,jose,fuego
278,00:14:23:08,00:14:24:03,"That's why they are the creators,","Por eso son los creadores,",,,jose,fuego
279,00:14:24:03,00:14:27:13,"likewise mothers, mother","así mismo madres,  madre",,,jose,fuego
280,00:14:27:15,00:14:29:23,What are they,que son,,,jose,fuego
281,00:14:29:23,00:14:31:03,"Xxxx, what","Xxxx, que",,,jose,fuego
282,00:14:31:03,00:14:33:21,"it is the Earth,","es la tierra,",,,jose,fuego
283,00:14:33:21,00:14:36:21,"the fertile land,","la tierra fértil,",,,jose,fuego
284,00:14:37:02,00:14:42:19,the task also of ordering so that,la tarea también de ordenar para que,,,jose,fuego
285,00:14:42:21,00:14:47:03,there would be life,hubiera vida.,,,jose,fuego
286,00:14:47:05,00:14:50:18,"And they talk about mothers,","Y se habla de las madres,",,,jose,fuego
287,00:14:50:20,00:14:55:14,"They talk about nine mothers in colors of the earth,","se habla de nueve madres en colores de la tierra,",,,jose,fuego
288,00:14:55:16,00:14:58:16,"white earth, reddish earth,","tierra blanca, tierra rojiza,",,,jose,fuego
289,00:14:58:21,00:15:01:19,sandy land,tierra arenosa,,,jose,fuego
290,00:15:01:19,00:15:04:16,"and well, wisdom explains that each land","y bueno, la sabiduría explica que cada tierra",,,jose,fuego
291,00:15:04:16,00:15:09:16,It has a function.,tiene una función.,,,jose,fuego
292,00:15:09:18,00:15:11:05,AND,Y,,,jose,fuego
293,00:15:11:05,00:15:13:19,which is more,"la que, es más",,,jose,fuego
